vote_id,term,position,area,term_n,total_r,total_p
222,99年,里長,彰化縣溪湖鎮,99,159750,170550
223,99年,鎮民代表,彰化縣田中鎮,99,147000,482400
224,99年,鄉民代表,彰化縣田尾鄉,99,329000,369645
225,99年,鄉民代表,彰化縣福興鄉,99,1055000,1063060
226,99年,鄉民代表,彰化縣秀水鄉,99,434800,459899
227,99年,鄉民代表,彰化縣線西鄉,99,114100,153471
228,99年,鄉民代表,彰化縣花壇鄉,99,145000,1033965
229,99年,鄉民代表,彰化縣花壇鄉,99,112000,146161
230,99年,鎮民代表,彰化縣鹿港鎮,99,690000,717275
231,99年,鎮民代表,彰化縣鹿港鎮,99,209388,329162
232,99年,里長,新北市,99,102200,115058
233,99年,里長,新北市,99,56200,60000
234,99年,里長,新北市,99,0,0
235,99年,里長,新北市,99,60005,112153
236,99年,里長,新北市,99,189000,243440
237,99年,里長,新北市,99,70600,251209
238,99年,里長,新北市,99,60000,60000
239,99年,里長,新北市,99,0,0
240,99年,里長,新北市,99,377016,585372
241,99年,里長,新北市,99,0,251768
242,99年,里長,新北市,99,45850,54355
243,99年,里長,新北市,99,0,0
244,99年,里長,新北市,99,0,0
245,99年,里長,新北市,99,17400,101251
246,99年,里長,新北市,99,36600,28702
247,99年,里長,新北市,99,0,0
248,99年,里長,新北市,99,312140,334560
249,99年,里長,新北市,99,100000,101731
250,99年,里長,新北市,99,0,0
251,99年,里長,新北市,99,80006,109781
252,99年,里長,新北市,99,82100,237897
253,99年,里長,新北市,99,0,0
254,99年,里長,新北市,99,0,0
255,99年,里長,新北市,99,129000,174841
256,99年,里長,新北市,99,61880,120780
257,99年,里長,新北市,99,0,0
258,99年,里長,新北市,99,175813,185185
259,99年,里長,新北市,99,0,0
260,99年,里長,新北市,99,37200,273578
261,99年,里長,新北市,99,0,0
262,99年,里長,新北市,99,0,127590
263,99年,里長,新北市,99,17600,352219
264,99年,里長,新北市,99,209600,260650
265,99年,里長,新北市,99,90500,119667
266,99年,里長,新北市,99,111000,196605
267,99年,里長,新北市,99,0,0
268,99年,里長,新北市,99,0,0
269,99年,里長,新北市,99,0,0
270,99年,里長,新北市,99,23000,141545
271,99年,里長,新北市,99,0,192532
272,99年,里長,新北市,99,16600,16700
273,99年,里長,新北市,99,0,271323
274,99年,里長,新北市,99,0,0
275,99年,里長,新北市,99,40000,232000
276,99年,里長,新北市,99,0,0
277,99年,里長,新北市,99,0,0
278,99年,里長,新北市,99,128600,196125
279,99年,里長,新北市,99,200000,222700
280,99年,里長,新竹市,99,13000,39006
281,99年,里長,新竹市,99,0,112931
282,99年,里長,新竹市,99,25300,75871
283,99年,里長,新竹市,99,202609,216900
284,99年,里長,新竹市,99,184400,206822
285,99年,里長,新竹市,99,100004,101450
286,99年,里長,新竹市,99,0,0
287,99年,里長,新竹市,99,0,19130
288,99年,里長,新竹市,99,0,0
289,99年,鄉民代表,新竹縣北埔鄉,99,20000,54389
290,99年,里長,新竹縣新埔鎮,99,166800,187260
