選舉類型,擬參選人,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入,人事費用支出,宣傳支出,租用宣傳車輛支出,租用競選辦事處支出,集會支出,交通旅運支出,雜支支出,返還捐贈支出,繳庫支出,公共關係費用支出
99年宜蘭縣壯圍鄉村長,李照福,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣壯圍鄉村長,林旺枝,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣壯圍鄉村長,葉慶文,21000,0,0,0,0,0,0,21000,0,0,0,0,0,0,0,0
99年宜蘭縣壯圍鄉鄉民代表,黃建勇,10000,260000,0,0,0,0,0,229794,0,0,27960,0,57114,0,0,0
99年宜蘭縣大同鄉村長,張朝松,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣宜蘭市市民代表,吳建基,0,0,0,0,0,0,0,107000,8000,0,0,0,40900,0,0,0
99年宜蘭縣宜蘭市市民代表,呂金宏,49500,40000,0,0,0,0,50500,43450,0,32500,71200,0,96873,0,0,0
99年宜蘭縣宜蘭市市民代表,張榮輝,104600,0,0,0,0,0,0,190000,0,0,0,0,34000,0,0,0
99年宜蘭縣宜蘭市市民代表,李詠蘭,40000,0,0,0,0,0,5305,86708,0,30000,0,0,20000,0,0,0
99年宜蘭縣宜蘭市市民代表,林志鴻,223000,70000,0,0,0,0,75000,195380,0,0,73400,0,19000,0,0,0
99年宜蘭縣宜蘭市市民代表,林漢傑,756500,250000,3000,0,0,17,321000,512625,17000,143085,180962,0,55077,0,0,0
99年宜蘭縣宜蘭市市民代表,林葆淵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣宜蘭市市民代表,游國良,152000,0,0,0,0,0,0,117000,0,8000,24700,0,3251,0,0,10000
99年宜蘭縣宜蘭市市民代表,陳明鍾,6000,0,0,0,0,0,0,49961,0,0,0,9478,46646,0,0,0
99年宜蘭縣宜蘭市里長,徐佳庭,11000,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0
99年宜蘭縣宜蘭市里長,李武雄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣礁溪鄉村長,游壬癸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣礁溪鄉村長,黃朝明,33000,20000,3000,0,0,0,9600,46800,0,0,100320,0,0,0,0,0
99年宜蘭縣羅東鎮市民代表,何建東,152200,42000,0,0,0,1,28000,189231,0,43575,0,4581,5631,0,0,0
99年宜蘭縣羅東鎮里長,曾阿素,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣羅東鎮里長,楊峰嫣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣羅東鎮里長,蔡朝金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣羅東鎮里長,黃致遠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣羅東鎮鎮民代表,吳文欽,308000,68000,0,0,6000,0,0,436750,0,0,650,1000,4400,0,0,0
99年宜蘭縣羅東鎮鎮民代表,林美滿,280400,0,0,0,0,0,66500,214300,3990,24450,74965,0,67128,0,0,0
99年宜蘭縣羅東鎮鎮民代表,林雪霞,65600,0,0,0,0,1,0,264863,36000,0,144240,6057,24657,0,0,0
99年宜蘭縣羅東鎮鎮民代表,許俊仁,133500,0,0,0,0,0,0,136200,9000,500,6900,0,2309,0,0,4000
99年宜蘭縣羅東鎮鎮民代表,謝家倫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣羅東鎮鎮民代表,賴秀鑾,321000,7000,0,0,0,0,90000,206700,46500,0,0,16556,17179,0,0,0
99年宜蘭縣羅東鎮鎮民代表,陳順益,140000,50000,0,0,0,0,0,146211,22000,0,13333,0,38623,0,0,0
99年宜蘭縣羅東鎮鎮民代表,黃德勝,54000,0,0,0,0,0,44000,241351,0,0,0,0,0,0,0,0
99年宜蘭縣蘇澳鎮里長,劉福元,0,0,0,0,0,0,0,42700,0,0,19076,0,46963,0,0,0
99年宜蘭縣蘇澳鎮里長,劉金德,0,0,0,0,0,0,0,20000,0,0,0,0,13300,0,0,0
99年宜蘭縣蘇澳鎮里長,吳柏祺,200000,30000,0,0,0,0,0,32995,0,0,8638,8403,124480,0,0,9900
99年宜蘭縣蘇澳鎮里長,林金源,0,0,0,0,0,0,0,21455,0,0,24950,0,24420,0,0,0
99年宜蘭縣蘇澳鎮里長,林黃政吉,27000,33000,0,0,0,0,15000,23500,0,0,17750,720,4432,0,0,1000
99年宜蘭縣蘇澳鎮里長,羅興益,44000,11600,0,0,0,0,0,30440,0,0,35725,5500,21518,0,0,4000
99年宜蘭縣蘇澳鎮里長,黃淑瑩,29500,0,0,0,7000,0,0,29414,0,0,4777,2317,742,0,0,0
99年宜蘭縣蘇澳鎮鎮民代表,張美皇,0,0,0,0,0,0,0,39750,0,0,45280,0,76992,0,0,0
99年宜蘭縣蘇澳鎮鎮民代表,林森豪,58000,0,0,0,0,0,0,176870,36032,0,49630,19728,89930,0,0,0
99年宜蘭縣蘇澳鎮鎮民代表,林正標,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年宜蘭縣蘇澳鎮鎮民代表,邱嘉進,189000,30000,0,0,0,0,0,222836,25870,0,0,0,17154,0,0,0
99年宜蘭縣蘇澳鎮鎮民代表,陳志明,260000,0,0,0,0,0,30000,232989,41220,0,16500,0,92777,0,0,9000
99年宜蘭縣蘇澳鎮鎮民代表,黃榮祿,0,0,0,0,0,0,0,112622,728,8450,18598,0,35110,0,0,0
99年屏東縣三地門鄉村長,高玉金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年屏東縣三地門鄉鄉民代表,林德如,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年屏東縣來義鄉鄉民代表,周花心,48000,0,0,0,0,0,0,48000,0,0,0,0,0,0,0,0
99年屏東縣內埔鄉村長,黃煥松,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年屏東縣內埔鄉鄉民代表,張秀緣,10000,0,0,0,0,0,0,80760,0,0,0,0,11750,0,0,0
99年屏東縣屏東市市民代表,吳漢霖,264000,131000,0,0,11000,18,0,411318,0,0,20000,19241,11164,0,0,0
99年屏東縣屏東市市民代表,方一祥,15000,20000,0,0,0,0,0,105000,0,0,0,0,0,0,0,0
99年屏東縣屏東市市民代表,方明上,17600,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0
99年屏東縣屏東市市民代表,朱浩昌,61000,0,0,0,0,5,0,84688,8280,0,500,0,1108,0,0,0
99年屏東縣屏東市市民代表,李漢鐘,247700,0,0,0,1000,8,0,269599,0,0,0,0,19071,0,0,0
99年屏東縣屏東市市民代表,李秀䅿,12000,100000,0,0,0,9,90000,385700,39000,0,10000,0,0,0,0,0
99年屏東縣屏東市市民代表,林恊松,50000,0,0,100000,0,0,0,49540,0,0,22600,0,78000,0,0,0
99年屏東縣屏東市市民代表,楊忠進,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年屏東縣屏東市市民代表,王瑞芳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年屏東縣屏東市市民代表,薛玉玲,2000,0,0,0,0,0,0,104300,0,0,0,0,0,0,0,0
99年屏東縣屏東市市民代表,許晉嘉,20000,0,0,0,0,2,0,95700,20000,12000,0,11062,56284,0,0,0
99年屏東縣屏東市市民代表,趙康伶,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年屏東縣屏東市市民代表,郭義全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年屏東縣屏東市市民代表,鍾明輝,184000,23000,0,0,6000,0,0,274435,0,0,0,0,21673,0,0,0
99年屏東縣屏東市市民代表,陳美瓊,355000,50000,0,0,0,0,0,218900,0,0,224110,15202,80083,0,0,0
99年屏東縣恆春鎮里長,張昌益,800,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0
99年屏東縣枋山鄉鄉民代表,鍾乙豪,135350,0,0,0,0,0,0,32530,0,0,0,6519,109256,0,0,0
99年屏東縣林邊鄉鄉民代表,阮百靈,65000,0,0,0,0,0,20000,59700,0,0,0,0,2054,0,0,0
99年屏東縣泰武鄉鄉民代表,莎蘊‧尤淦,0,0,0,0,0,0,0,21711,12927,2710,12453,0,13573,0,0,0
99年屏東縣潮州鎮鎮民代表,王俞森,50000,0,0,0,0,0,0,93121,0,0,2500,18242,21854,0,0,0
99年屏東縣潮州鎮鎮民代表,陳素春,0,0,0,0,0,0,230000,99775,15000,0,10000,0,59816,0,0,0
99年屏東縣牡丹鄉鄉民代表,曹明生,182000,0,0,0,0,0,20000,155288,34000,10000,14000,1750,37919,0,0,0
99年屏東縣獅子鄉村長,卓萬吉,70000,0,0,0,0,0,0,20000,30000,10000,5000,0,5000,0,0,0
99年屏東縣獅子鄉鄉民代表,張元鑫,243100,2000,0,0,0,0,86000,99000,0,0,0,9806,50544,0,0,0
99年屏東縣獅子鄉鄉民代表,鳳佳輝,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年屏東縣瑪家鄉鄉民代表,涂萬得,63000,0,0,0,0,0,0,58660,0,0,0,0,4340,0,0,0
99年屏東縣竹田鄉村長,邱森玉,10000,0,0,0,3800,0,1600,29500,0,0,0,0,5000,0,0,3800
99年屏東縣萬丹鄉鄉民代表,洪維呈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年屏東縣萬丹鄉鄉民代表,鄭玉媛,200000,0,0,0,0,0,0,72800,54000,0,53940,0,51500,0,0,0
99年屏東縣萬巒鄉鄉民代表,陳瑞賢,111400,0,0,0,0,0,0,44600,4100,0,0,2609,68542,0,0,0
99年屏東縣霧台鄉鄉民代表,杜勇賢,26000,50000,0,0,0,0,58000,44200,0,0,54630,3221,4172,0,0,0
99年屏東縣霧臺鄉鄉民代表,李金龍,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
